,0
0,0.004256729387023576
1,0.0009403611688402255
2,5.2712808196100165e-05
3,0.010142835286421362
4,0.035224642719539866
5,0.011771710106086106
6,0.0678438195654375
7,0.00548231442176865
8,0.025196606985934785
9,0.0008394630342426304
10,0.004032551162572006
11,0.0845677977364385
12,0.023977874487557036
13,0.0002786430944857526
14,0.011877258832728157
15,0.02062770432696176
16,0.02308892416880231
17,0.003968500223756636
18,3.1028793925086e-05
19,0.006183992435006303
20,0.005087266228412928
21,0.003507782938472934
22,0.013091481397063573
23,0.043409575189140355
24,0.054075995781275914
25,4.421699767946446e-05
26,0.001635237356172894
27,0.01301971431679645
28,0.009575589009992327
29,0.0006441511926089866
30,0.017354572067012578
31,0.003424384798873692
32,0.004208169954077824
33,0.008814171787202271
34,0.0138126038224464
35,0.017232310424546444
36,0.0016709723144027618
37,0.0006514181384842078
38,0.0009862096937240858
39,0.004277763839906426
40,0.001991243548370536
41,0.0013396107986523038
42,0.007675320590398934
43,0.00030875308264460957
44,0.0029453538450547167
45,0.0023000511792866806
46,0.0006875644179984525
47,0.0032458074823040277
48,0.00042994823184959295
49,0.0017090584538943512
50,0.0036827556443602113
51,0.003195394055436655
52,0.08000431952091361
53,0.6439177309375893
54,0.002008921924719307
55,0.03289929853901826
56,0.011393310216194878
57,0.004857400835954072
58,0.0003883820579690422
59,0.03500233999870911
60,0.0019532222731138836
61,0.013388507631883718
62,0.015264821586636577
63,0.0013857551018755469
64,0.00929419065308265
65,0.050433785424021806
66,0.009557857732043484
67,0.10700134264680426
68,0.004936307792593881
69,0.022207789323491035
70,0.0062705442432999334
71,0.016068121026019906
72,0.0013115974495855314
73,3.253689311553574e-05
74,0.0013234982941434945
75,0.024190116013393412
76,0.00977951758848644
77,0.014402805616827663
78,0.04711365406456684
79,0.1490239189455418
80,0.0006652350127413799
81,0.00908602866003958
82,0.030041973828111346
83,0.004671466993187729
84,0.03690268059493933
85,0.002387154980538095
86,0.006133181358776021
87,0.00963174478609846
88,0.00014688935013825198
89,0.0007591220418407575
90,0.003707790305633155
91,0.07307361016280578
92,0.004173355426278715
93,0.04065957839957785
94,0.003471856217658823
95,0.036265376170034586
96,2.5417663057182362e-05
97,0.0027772790989556337
98,0.07880545634541827
99,0.038966043954333306
100,0.00012267363370097585
101,0.0003723164867226645
102,0.010861865347447819
103,0.2249817344832366
104,0.009766906912199542
105,0.0134446354455287
106,6.162001344128976e-05
107,0.041674564242480915
108,0.02728703507785535
109,0.04868418946206151
110,0.0031711406428765842
111,0.0010094768486060145
112,0.06836077881028453
